ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
12607,shift6193,Polysemy,1,ACCEPTED,→,to ring (tr.),3088,to make a telephone call,2882,Armenian,176,Armenian,176,to ring,to make a telephone call,zangel (զանգել),zangel (զանգել)
12635,shift5181,Polysemy,1,ACCEPTED,→,"step, pace",4257,move (board games),737,Armenian,176,Armenian,176,"step, pace",move (chess),kʿayl (քայլ),kʿayl (քայլ)
12675,shift1168,Polysemy,6,ACCEPTED,?,to speak,3193,"to order, command",2953,Armenian,176,Armenian,176,to speak,"to order, to assign",asel,asel
12695,shift5808,Polysemy,1,ACCEPTED,→,neck,1837,isthmus,1809,Armenian,176,Armenian,176,neck,(rare) isthmus,viz (վիզ),viz (վիզ)
12697,shift5808,Polysemy,3,ACCEPTED,→,neck,1837,isthmus,1809,Armenian,176,Armenian,176,neck,isthmus,paranocʿ (պարանոց),paranocʿ (պարանոց)
12858,shift4419,Polysemy,1,ACCEPTED,→,flower,1323,best part of something,3584,Classical Armenian,293,Classical Armenian,293,flower,"(fig.) choice, best",całik (ծաղիկ),całik (ծաղիկ)
12873,shift6302,Polysemy,6,NEW,→,anvil (of a blacksmith),2010,"incus, anvil bone",1764,Armenian,176,Armenian,176,anvil (of a blacksmith),anvil bone,sal (սալ),sal (սալ)
13013,shift5567,Polysemy,15,ACCEPTED,→,"wild, untamed",82,"rude, impolite",1517,Classical Armenian,293,Classical Armenian,293,wild predatory beast,"(figuratively) brutal, beastly man",gazan (գազան),gazan (գազան)
13049,shift7157,Polysemy,2,ACCEPTED,→,"step, pace",4257,"act, deed",1938,Armenian,176,Armenian,176,"step, pace","act, deed",քայլ (kʿayl),քայլ (kʿayl)
13058,shift6225,Polysemy,2,NEW,→,to break (intr.),2368,"to be stubborn, obstinate",2303,Armenian,176,Armenian,176,to break (intr.),"to be stubborn, refuse to agree to smth. without good reason",kotratvel (կոտրատվել),kotratvel (կոտրատվել)
13079,shift0524,Polysemy,3,ACCEPTED,?,chest (body part),954,mountain slope,732,Armenian,176,Armenian,176,chest,slope (hill),ландж,ландж
13098,shift4913,Polysemy,1,NEW,→,girl,786,queen (playing card),1904,Armenian,176,Armenian,176,girl,queen (playing card),ałǰik (աղջիկ),ałǰik (աղջիկ)
13110,shift6581,Polysemy,2,ACCEPTED,→,sour,4175,acid,1934,Armenian,176,Armenian,176,sour,acid,tʿtʿu (թթու),tʿtʿu (թթու)
13171,shift3810,Polysemy,1,ACCEPTED,→,horse,1661,knight (chess),1722,Armenian,176,Armenian,176,horse (Equus caballus),knight (chess),ji (ձի),ji (ձի)
13195,shift5804,Polysemy,1,ACCEPTED,→,organ (anatomy),4561,institution,1792,Armenian,176,Armenian,176,organ (anatomy),"agency, authority",ōrgan (օրգան),ōrgan (օրգան)
13401,shift2183,Polysemy,23,ACCEPTED,→,"to follow, go after smb.",2649,to act according to,2218,Armenian,176,Armenian,176,to follow,to act according to,hetevel (հետեւել),hetevel (հետեւել)
13484,shift8031,Polysemy,2,ACCEPTED,→,to work,3380,to function,2662,Armenian,176,Armenian,176,to work,to function,ašxatel (աշխատել),ašxatel (աշխատել)
13682,shift1406,Derivation,1,ACCEPTED,?,wind,88,anemone (Anemone),1993,Armenian,176,Armenian,176,"storm, hurricane",anemone,hołm,hołmacałik
13757,shift5813,Polysemy,1,NEW,→,rib,1473,side (n.),4071,Armenian,176,Armenian,176,rib,side (n.),koł (կող),koł (կող)
13764,shift7504,Derivation,4,ACCEPTED,→,water,16,chickenpox,956,Armenian,176,Armenian,176,water,chickenpox,ǰur (ջուր),ǰrcałik (ջրծաղիկ)
13893,shift6741,Polysemy,11,ACCEPTED,—,man (male),574,male (animal),571,Classical Armenian,293,Classical Armenian,293,male,male (animal),orj (որձ),orj (որձ)
13938,shift0736,Polysemy,4,ACCEPTED,?,heavy (of weight),1594,expensive,3885,Armenian,176,Armenian,176,heavy,expensive,canr,canr
13988,shift3494,Polysemy,9,ACCEPTED,→,&lt;young animal&gt;,2072,child (son or daughter),958,Armenian,176,Armenian,176,"the young of any animal, baby animal, especially the young of a bird","(figuratively, endearing) human baby",jag (ձագ),jag (ձագ)
14047,shift4596,Derivation,6,ACCEPTED,→,lentil,194,lens,192,Armenian,176,Armenian,176,lentil,lens,osp (ոսպ),ospnyak (ոսպնյակ)
14294,shift1389,Polysemy,4,ACCEPTED,→,to boil (intr.),2361,to be angry,2255,Armenian,176,Armenian,176,to boil,to worry,eř gal,eř gal
14403,shift0563,Polysemy,4,ACCEPTED,—,man (male),574,"human, person",1683,Armenian,176,Armenian,176,man,person,mard (մարդ),mard (մարդ)
14499,shift3304,Derivation,9,ACCEPTED,→,bell,3568,bellflower (Campanula),3570,Armenian,176,Armenian,176,bell,bellflower (Campanula),zang (զանգ),zangak (զանգակ)
14597,shift0465,Polysemy,4,ACCEPTED,?,eye,3890,"spring, fountain",4226,Armenian,176,Armenian,176,eye,"well, source",акн,акн
14628,shift3859,Polysemy,6,ACCEPTED,→,fire,1286,to shoot,3149,Armenian,176,Armenian,176,fire,shooting (of weapons),krak (կրակ),krak (կրակ)
14782,shift4020,Polysemy,2,ACCEPTED,→,child (son or daughter),958,bee swarm,3556,Armenian,176,Armenian,176,"the young of any animal, baby animal, especially the young of a bird (figuratively, endearing) human baby",swarm of bees that leaves the hive to form a new family,jag (ձագ),jag (ձագ)
14795,shift0491,Derivation,4,ACCEPTED,→,nose,1879,nostril,1880,Armenian,176,Armenian,176,nose,nostril,kʿitʿ (քիթ),kʿtʿancʿkʿ (քթանցք)
14796,shift0491,Polysemy,5,ACCEPTED,→,nose,1879,nostril,1880,Armenian,176,Armenian,176,nose,nostril,kʿitʿ (քիթ),kʿtʿacak (քթածակ)
14797,shift0491,Derivation,6,ACCEPTED,→,nose,1879,nostril,1880,Classical Armenian,293,Classical Armenian,293,nose,nostril,ṙungn (ռունգն),ṙngunkʿ (ռնգունք)
14864,shift4449,Polysemy,5,ACCEPTED,→,monarch,696,king (a playing card),1713,Armenian,176,Armenian,176,king,king (a playing card),tʿagavor (թագավոր),tʿagavor (թագավոր)
14927,shift1918,Derivation,8,NEW,→,"spade, shovel",4182,"shoulder-blade, scapula",4055,Armenian,176,Armenian,176,wooden shovel,"shoulder-blade, scapula",tʿi (թի),tʿiak (թիակ)
14941,shift5436,Polysemy,1,NEW,—,carrot,898,parsnip,305,Armenian,176,Armenian,176,carrot,parsnip,stepłin (ստեպղին),stepłin (ստեպղին)
14951,shift4890,Polysemy,2,NEW,→,noble,1870,free,1371,Classical Armenian,293,Classical Armenian,293,noble,"free, independent; freed, affranchised, redeemed, quit, ransomed",azat (ազատ),azat (ազատ)
14978,shift1147,Polysemy,4,ACCEPTED,—,fox (Vulpes vulpes),1360,cunning person,1157,Armenian,176,Armenian,176,fox,cunning dog (cunning person),ałves,ałves
15188,shift6368,Derivation,9,ACCEPTED,→,dog,4458,otter (Lutra lutra),4569,Classical Armenian,293,Classical Armenian,293,dog,otter (Lutra lutra),šun (շուն),šnǰri (շնջրի)
15199,shift5240,Polysemy,1,ACCEPTED,→,dew,4424,tears,2139,Armenian,176,Armenian,176,dew,"(literary, figuratively) tear, teardrop",cʿoł (ցող),cʿoł (ցող)
15251,shift6295,Polysemy,1,NEW,→,"table, desk",2107,molar (tooth),692,Classical Armenian,293,Classical Armenian,293,table; desk,molar (tooth),sełan (սեղան),sełan (սեղան)
15307,shift4145,Polysemy,1,NEW,→,hump (of a person or camel),1687,peak of mountain,326,Armenian,176,Armenian,176,hump (of a person or camel),peak of mountain,sapat (սապատ),sapat (սապատ)
15340,shift8149,Derivation,6,ACCEPTED,→,worm,123,scale insect,3950,Armenian,176,Armenian,176,worm,scale insects,ord (որդ),ordanner (որդաններ)
15377,shift7067,Derivation,2,NEW,→,grandmother,827,midwife,656,Armenian,176,Armenian,176,grandmother,(dialectal) midwife,tat (տատ),"tatmayr, tatmer (տատմայր, տատմեր)"
15483,shift7537,Derivation,2,ACCEPTED,→,to sleep,3169,dormouse,4469,Armenian,176,Armenian,176,"sleep, slumber",dormouse,kʿun (քուն),kʿnamuk (քնամուկ)
15788,shift4537,Derivation,102,ACCEPTED,→,middle,652,middle finger,653,Armenian,176,Armenian,176,middle,middle finger,meǰteł (մեջտեղ),miǰnamat (միջնամատ)
15956,shift3933,Polysemy,4,ACCEPTED,→,&lt;horned animal&gt;,1538,beautiful girl,3546,Armenian,176,Armenian,176,female deer,beautiful girl,ełnik (եղնիկ),ełnik (եղնիկ)
