ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
29740,shift1294,Derivation,10,ACCEPTED,→,"many, much",584,very,3761,Swedish,135,Swedish,135,many,very,mycken,mycket
29754,shift5176,Polysemy,2,ACCEPTED,—,to sail,3107,to soar,3185,German,169,German,169,"to sail, to navigate (under sail)","to soar, to hover",segeln,segeln
29766,shift1807,Polysemy,2,ACCEPTED,→,to see/to look at,3121,to guard,2731,English,153,English,153,"to look, to observe",to guard,to watch,to watch
29801,shift1317,Polysemy,3,ACCEPTED,?,to sit down,3161,"to set (of Moon, Sun)",3129,English,153,English,153,NA,NA,set,set
29818,shift3199,Derivation,1,ACCEPTED,→,cereal,933,cornflower (Centaurea),1102,German,169,German,169,"bread, corn; rye",cornflower (Centaurea cyanus L.),Korn,Kornblume
29830,shift1394,Polysemy,9,ACCEPTED,→,donkey,4463,fool,1336,Danish,173,Danish,173,donkey,fool,æsel,æsel
29831,shift1394,Polysemy,10,ACCEPTED,→,donkey,4463,fool,1336,Swedish,135,Swedish,135,donkey,fool,åsna,åsna
29832,shift1394,Polysemy,11,ACCEPTED,→,donkey,4463,fool,1336,Icelandic,252,Icelandic,252,donkey,fool,asni,asni
29856,shift6503,Derivation,6,ACCEPTED,→,May,609,cockchafer,1024,Dutch,255,Dutch,255,May,cockchafer,mei,meikever
29857,shift6503,Derivation,7,ACCEPTED,→,May,609,cockchafer,1024,German,169,German,169,May,cockchafer,Mai,Maikäfer
29862,shift6503,Derivation,12,ACCEPTED,→,May,609,cockchafer,1024,English,153,English,153,May,cockchafer,May,May beetle
29870,shift6503,Derivation,20,ACCEPTED,→,May,609,cockchafer,1024,Low German,1230,Low German,1230,May,cockchafer,Mai,Maikäver
29872,shift6503,Derivation,22,ACCEPTED,→,May,609,cockchafer,1024,Luxembourgish,840,Luxembourgish,840,May,cockchafer,Mai,Maikäfer
29885,shift2651,Derivation,3,ACCEPTED,→,to feel hunger,2616,to want,3353,Gothic,228,Gothic,228,hunger,desire,grēdus,gairnjan
29900,shift4334,Polysemy,1,NEW,—,to ride a surfboard,3087,to browse through (a digital source),2382,English,153,English,153,to ride a surfboard,to browse through (a digital source),surf,surf
29914,shift1150,Polysemy,4,ACCEPTED,→,low (location),263,bad (ethically),3494,English,153,English,153,low,"mean, base",low,low
29919,shift1150,Polysemy,9,ACCEPTED,→,low (location),263,bad (ethically),3494,German,169,German,169,'not high',"'morally low, base'",niedrig,niedrig
29924,shift1150,Polysemy,14,ACCEPTED,→,low (location),263,bad (ethically),3494,Danish,173,Danish,173,low (location),"bad, immoral",lav,lav
29925,shift1150,Polysemy,15,ACCEPTED,→,low (location),263,bad (ethically),3494,Swedish,135,Swedish,135,low (location),bad (ethically),låg,låg
29933,shift1522,Derivation,1,ACCEPTED,→,head,1578,"heading, title",1579,English,153,English,153,NA,NA,head,heading
