ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
26003,shift7373,Polysemy,1,ACCEPTED,→,"lattice, grid",165,harrow,1564,Irish Gaelic,210,Irish Gaelic,210,"wattled, latticed, frame; hurdle",harrow,cliath,cliath
26183,shift7042,Motivation,7,ACCEPTED,→,horse,1661,"horsetail, equisetum",1669,Irish Gaelic,210,Irish Gaelic,210,horse (Equus caballus),"horsetail, equisetum",capall,eireaball capaill
26240,shift8599,Polysemy,1,ACCEPTED,—,mirror,675,lens,192,Welsh,208,Welsh,208,mirror,lens,gwydryn,gwydryn
26314,shift7148,Polysemy,1,NEW,→,&lt;tree&gt;,2104,destiny,4419,Old Irish,229,Old Irish,229,<tree>,destiny,crann,crann
26415,shift3926,Polysemy,7,ACCEPTED,→,word,120,verb,3758,Irish Gaelic,210,Irish Gaelic,210,word,verb,briathar,briathar
26679,shift7289,Motivation,6,ACCEPTED,→,Christmas,975,December,4401,Irish Gaelic,210,Irish Gaelic,210,Christmas,December,Nollaig,Mí na Nollag
27622,shift8130,Polysemy,2,ACCEPTED,→,"summer solstice, St John&#39;s Day",4331,June,1200,Old Irish,229,Old Irish,229,midsummer,June,mithem,mithem
27647,shift7481,Derivation,1,NEW,→,to dive,2540,osprey (Pandion haliaёtus),4565,Breton,209,Breton,209,diving,osprey (Pandion haliaёtus),spluj,erer-spluj
27752,shift0908,Polysemy,3,ACCEPTED,—,right (vs. left),1481,South,4179,Breton,209,Breton,209,the right side,southern,"dehou, dehow","dehou, dehow"
27753,shift0908,Polysemy,4,ACCEPTED,—,right (vs. left),1481,South,4179,Old Irish,229,Old Irish,229,right (vs. left),south,dess,dess
27754,shift0908,Polysemy,5,ACCEPTED,→,right (vs. left),1481,South,4179,Old Welsh,448,Old Welsh,448,right (vs. left),south,"dehau, deheu","dehau, deheu"
27755,shift0908,Polysemy,6,ACCEPTED,→,right (vs. left),1481,South,4179,Cornish,542,Cornish,542,right (vs. left),south,"dehow, dyghow","dehow, dyghow"
27758,shift0908,Polysemy,9,ACCEPTED,→,right (vs. left),1481,South,4179,Scottish Gaelic,863,Scottish Gaelic,863,right (side),"South, southern",deas,deas
27769,shift0129,Derivation,11,NEW,—,Saturn,3946,Saturday,3945,Welsh,208,Welsh,208,Saturn,Saturday,Sadwrn,dydd Sadwrn
27810,shift7767,Derivation,2,ACCEPTED,→,water,16,otter (Lutra lutra),4569,Manx,895,Manx,895,water,otter (Lutra lutra),ushtey,moddey ushtey
27814,shift7767,Derivation,6,ACCEPTED,→,water,16,otter (Lutra lutra),4569,Breton,209,Breton,209,water,otter (Lutra lutra),dour,dourgi
27819,shift7767,Derivation,11,ACCEPTED,→,water,16,otter (Lutra lutra),4569,Welsh,208,Welsh,208,water,otter (Lutra lutra),dwfr,dyfrgi
27822,shift7767,Derivation,14,ACCEPTED,→,water,16,otter (Lutra lutra),4569,Irish Gaelic,210,Irish Gaelic,210,water,otter (Lutra lutra),uisce,madra uisce
27823,shift7767,Derivation,15,ACCEPTED,→,water,16,otter (Lutra lutra),4569,Old Irish,229,Old Irish,229,water,otter (Lutra lutra),dobur,doburchú
27824,shift7767,Derivation,16,ACCEPTED,→,water,16,otter (Lutra lutra),4569,Cornish,542,Cornish,542,water,otter (Lutra lutra),dowr,dowrgi
28275,shift0016,Semantic evolution,9,NEW,→,sweet (taste),4358,"dear, darling",4397,Irish Gaelic,210,Irish Gaelic,210,sweet (taste),"dear, darling",milis,milis
28419,shift8382,Polysemy,2,ACCEPTED,→,to ripen,3089,September,3996,Welsh,208,Welsh,208,to ripe,September,medi,Medi
28505,shift2526,Derivation,1,ACCEPTED,→,white,62,wheat,53,Welsh,208,Welsh,208,white,wheat,gwynn,gwenith
28507,shift2526,Derivation,3,ACCEPTED,→,white,62,wheat,53,Breton,209,Breton,209,white,wheat,gwenn,gwiniz
28513,shift2526,Derivation,9,ACCEPTED,→,white,62,wheat,53,Cornish,542,Cornish,542,white,wheat,"gwynn, gwydn",gwaneth
28607,shift6018,Derivation,30,ACCEPTED,→,to gnaw,2696,rodent,1490,Welsh,208,Welsh,208,to gnaw,rodent,cnoi,cnofil
28635,shift1369,Polysemy,4,ACCEPTED,→,"step, pace",4257,unit of length,528,Welsh,208,Welsh,208,"step, pace",unit of length,cam,cam
29177,shift6513,Derivation,1,NEW,→,oak,4510,cockchafer,1024,Breton,209,Breton,209,oak,cockchafer,derv,c&#39;hwil-derv
29183,shift2481,Derivation,1,NEW,→,strong,4304,fortress,1353,Breton,209,Breton,209,strong,fortress,krenv,krenvlec&#39;h
29550,shift0339,Derivation,3,ACCEPTED,→,hand/arm,1550,"skilful, dexterous",4097,Irish Gaelic,210,Irish Gaelic,210,hand/arm,"skill in handling, in casting; dexterity",lámh,lámhach
29864,shift6503,Derivation,14,ACCEPTED,→,May,609,cockchafer,1024,Breton,209,Breton,209,May,cockchafer,Mae,c&#39;hwil-Mae
29884,shift2651,Derivation,2,ACCEPTED,←,to feel hunger,2616,to want,3353,Irish Gaelic,210,Irish Gaelic,210,hunger,"love, desire",ocras,caraim
30063,shift0674,Polysemy,10,ACCEPTED,→,&lt;artiodactyl (even-toed animal)&gt;,1917,woman,109,Scottish Gaelic,863,Scottish Gaelic,863,mare,"(slang) woman, when regarded as a sexual object",làir,làir
30168,shift7431,Polysemy,12,ACCEPTED,→,"below, down, bottom part",3575,North,1877,Irish Gaelic,210,Irish Gaelic,210,bottom,North,thios,thios
30247,shift8392,Semantic evolution,1,NEW,→,Mid-Autumn,651,September,3996,Irish Gaelic,210,Irish Gaelic,210,Mid-Autumn,September,meadon Fomhair,meanfhomhair
30282,shift3816,Polysemy,2,ACCEPTED,→,bishop,3601,bishop (chess),3602,Irish Gaelic,210,Irish Gaelic,210,bishop,bishop (chess),easpag,easpag
30692,shift4010,Polysemy,18,ACCEPTED,→,father,1242,ancestor,1990,Irish Gaelic,210,Irish Gaelic,210,father,ancestor,athair,athair
30859,shift7477,Derivation,8,ACCEPTED,→,fish,1300,osprey (Pandion haliaёtus),4565,Welsh,208,Welsh,208,fish,osprey (Pandion haliaёtus),pysgod,gwalch y pysgod
30889,shift5625,Derivation,5,ACCEPTED,→,cow,1122,ladybird,145,Irish Gaelic,210,Irish Gaelic,210,cow,ladybird,bó,bóín Dé
30890,shift5625,Derivation,6,ACCEPTED,→,cow,1122,ladybird,145,Welsh,208,Welsh,208,cow,ladybird,buwch,buwch goch gota
31245,shift5776,Polysemy,2,ACCEPTED,→,cloud,1007,cataract (of the eye),909,Scottish Gaelic,863,Scottish Gaelic,863,cloud,cataract (of the eye),neul,neul-sùla
31283,shift3775,Polysemy,1,ACCEPTED,→,crown (n.),1149,tonsure (of monk),3402,Old Irish,229,Old Irish,229,crown (n.),tonsure (of monk),corann,corann
31497,shift7055,Semantic evolution,1,NEW,—,strength,4301,"many, much",584,Irish Gaelic,210,Irish Gaelic,210,strength,"many, much",neart,neart
31612,shift0557,Semantic evolution,8,ACCEPTED,→,history,1632,"event, occurrence",3872,Old Irish,229,Old Irish,229,history,"event, occurrence",scel,scel
31630,shift8320,Derivation,1,ACCEPTED,→,"human, person",1683,woman,109,Welsh,208,Welsh,208,person,woman,dyn,dynes
31644,shift7854,Derivation,1,NEW,→,"rock, crag, cliff",1489,echo,3807,Middle Irish,1529,Middle Irish,1529,cliff,echo,alla,mac alla
31860,shift3358,Polysemy,3,ACCEPTED,→,to sing,3157,to practice witchcraft,2994,Old Irish,229,Old Irish,229,"song, singing","spell, incantation",cétal,cétal
31874,shift1724,Derivation,3,ACCEPTED,→,sharp,4022,quick,1908,Welsh,208,Welsh,208,sharp,"quick, fast",llym,cuflym
31981,shift4825,Polysemy,4,ACCEPTED,→,bed,3549,garden bed,767,Irish Gaelic,210,Irish Gaelic,210,bed,garden bed,leaba,leaba
